lei,legal_name,jurisdiction
0W2PZJM8XOY22M4GG883,DEKABANK DEUTSCHE GIROZENTRALE,DE
0W5QHUNYV4W7GJO62R27,HYPO TIROL BANK AG,AT
1FOLRR5RWTWWI397R131,Aktiebolaget Svensk Exportkredit,SE
21380033CFFM2V1ZCK65,SPARKASSE (HOLDINGS) MALTA LIMITED,MT
2138004FIUXU3B2MR537,"CAIXA ECONOMICA MONTEPIO GERAL, CAIXA ECONÓMICA BANCÁRIA, S.A.",PT
21380057HUGFEAF25W84,NOBA BANK GROUP AB (PUBL),SE
2138005M92IEIQVEL297,AS INBANK,EE
2138005MGIT3X9ZTMP37,RØNDE SPAREKASSE,DK
2138007F5HA5FFJROB80,"RIETUMU BANKA, AKCIJU SABIEDRĪBA",LV
213800A1O379I6DMCU10,APS BANK P.L.C.,MT
213800HDJ876ACJXXD05,AIKGROUP (CY) LIMITED,CY
213800RZWHE5EUX9R444,LUMINOR HOLDING AS,EE
22210058UCKT3BJTCN24,OTP Luxembourg S.à r.l.,LU
259400QHDOZWMJ103294,ALIOR BANK SPÓŁKA AKCYJNA,PL
259400YLRTOBISHBVX41,ING BANK ŚLĄSKI SPÓŁKA AKCYJNA,PL
2G5BKIC2CB69PRJH1W31,BARCLAYS BANK IRELAND PUBLIC LIMITED COMPANY,IE
2ZCNRR8UK83OBTEK2170,UniCredit Bank GmbH,DE
3157002JBFAI478MD587,"Tatra banka, a.s.",SK
315700E9POA724IWFP59,J&T FINANCE GROUP SE,CZ
315700K45LRKNGMUIW27,"Prima banka Slovensko, a.s.",SK
391200EEGLNXBBCVKC73,Erwerbsgesellschaft der S-Finanzgruppe mbH & Co. KG,DE
3M5E1GQGKL17HI6CPN30,JYSKE BANK A/S,DK
52990026HQOTT4AJP655,GLS Gemeinschaftsbank e.G.,DE
5299003ATVTQVPTW4735,BTV Vier Länder Bank AG,AT
5299005OACOC1C1OFJ11,Raiffeisen-Landesbank Tirol AG,AT
5299007S3UH5RKUYDA52,DEUTSCHE APOTHEKER- UND ÄRZTEBANK EG,DE
5299009EHB4RBGMI5828,Raiffeisen Landesbank Kärnten und Revisionsverband eGen,AT
529900D5G4V6THXC5P79,"HRVATSKA POŠTANSKA BANKA, dioničko društvo",HR
529900DSIVJWCUQUMP41,AKA Ausfuhrkredit-Gesellschaft mit beschränkter Haftung,DE
529900FU4WJ2XT7BVE31,LBS Landesbausparkasse Süd,DE
529900HNOAA1KXQJUQ27,"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main",DE
529900I1UZV70CZRAU55,Raiffeisenbank Austria d.d.,HR
529900IRBZTADXJB6757,flatexDEGIRO SE,DE
529900JZTYE3W7WQH904,HASPA Finanzholding,DE
529900K16YGKC8BES892,Deutsche Kreditbank Aktiengesellschaft,DE
529900ODI3047E2LIV03,Nordea Bank Abp,FI
529900SS7ZWCX82U3W60,DEUTSCHE BANK S.P.A.,IT
529900UHDH7QLRMEJQ86,SIGMA Bank AG,LI
529900UKZBMDBDZIXD62,Addiko Bank AG,AT
529900W3MOO00A18X956,OTP Bank Nyrt.,HU
5493002DPKDEC2JN1Y86,SJF Bank A/S,DK
5493003BDYD5VPGUQS04,UNICREDIT BANK S.A.,RO
5493004D82XDFVPWQJ91,Ikano Bank AB (publ),SE
5493009ML6YX83YHC820,ARGENTA BANK - EN VERZEKERINGSGROEP,BE
549300A2F46GR0UOM390,ERSTE&STEIERMÄRKISCHE BANKA dioničko društvo,HR
549300DVPJYGNF2P7B03,Steiermärkische Bank und Sparkassen Aktiengesellschaft,AT
549300DYPOFMXOR7XM56,CRELAN,BE
549300EHNXQVOI120S55,COOP PANK AS,EE
549300FRBP5L0O1HY885,Sparbanken Syd,SE
549300GKFG0RYRRQ1414,DNB BANK ASA,NO
549300IQZVZ949N37S44,EUROCLEAR HOLDING,BE
549300L7YCATGO57ZE10,FINECOBANK BANCA FINECO S.P.A.,IT
549300NYKK9MWM7GGW15,ING GROEP N.V.,NL
549300PZMFIQR79Q0T97,Íslandsbanki hf.,IS
549300RFKNCOX56F8591,RAIFFEISEN BANK SA,RO
549300SXM92LQ05OJQ76,SPAREBANK 1 NORD-NORGE,NO
549300TJREQ7GHIXWR36,Swedbank Hypotek AB,SE
549300UOX05QGUJJ5707,Stadshypotek AB,SE
549300UY81ESCZJ0GR95,"""ПЪРВА ИНВЕСТИЦИОННА БАНКА"" АД",BG
549300V1VN70Q7PQ7234,CA AUTO BANK S.P.A.,IT
549300VRM6G42M8OWN49,SPAREBANK 1 ØSTLANDET,NO
549300X34UUBDEUL1Z91,HSBC BANK MALTA P.L.C.,MT
549300XWJHRKLHU2PS28,ERSTE BANK HUNGARY ZÁRTKÖRŰEN MŰKÖDŐ RÉSZVÉNYTÁRSASÁG,HU
549300YW95G1VBBGGV07,"AS ""SEB BANKA""",LV
549300Z7V2WOFIMUEK50,УНИКРЕДИТ БУЛБАНК,BG
549300ZK53CNGEEI6A29,J.P. Morgan SE,DE
5UMCZOEYKCVFAW8ZLO05,ΕΘΝΙΚΗ ΤΡΑΠΕΖΑ ΤΗΣ ΕΛΛΑΔΟΣ Α.Ε.,GR
635400AKJBGNS5WNQL34,AIB GROUP PUBLIC LIMITED COMPANY,IE
635400C8EK6DRI12LJ39,BANK OF IRELAND GROUP PLC,IE
635400L14KNHZXPUZM19,BANK OF CYPRUS HOLDINGS PUBLIC LIMITED COMPANY,IE
635400LCCIYHUL6ELA34,USB European (Holdings) Limited,IE
724500973ODKK3IFQ447,Adyen N.V.,NL
724500JIWG886A9RRT57,RBS HOLDINGS N.V.,NL
724500PMK2A2M1SQQ228,Triodos Bank N.V.,NL
7437003B5WFBOIEFY714,OP Osuuskunta,FI
743700FTBNXAUN57RH30,S-Pankki Oyj,FI
8156007D348794DB1690,CREDIT AGRICOLE ITALIA S.P.A.,IT
815600903231FA2E7698,BANCA GENERALI - SOCIETA' PER AZIONI O IN FORMA ABBREVIATA: GENERBANCA,IT
851WYGNLUQLFZBSYGB56,COMMERZBANK Aktiengesellschaft,DE
95980020140005484654,"CAJA RURAL DE ALBACETE, CIUDAD REAL Y CUENCA SOCIEDAD COOPERATIVA DE CREDITO",ES
9598002AYDQER7DXLR16,"GRUCAJRURAL INVERSIONES, S.L.",ES
9695002K2HDLD20JU790,AGENCE FRANCE LOCALE-SOCIETE TERRITORIALE,FR
969500W34S6NCZWYBV47,CAISSE D'EPARGNE ET DE PREVOYANCE ILE-DE-FRANCE,FR
9845006C7B5CC707X660,Swedbank Baltics AS,LV
984500ADEE3DE4F14F51,kompasbank a/s,DK
B64D6Y3LBJS4ANNPCU93,NIBC Bank N.V.,NL
DG3RU1DBUFHT4ZF9WN62,Coöperatieve Rabobank U.A.,NL
F0HUI1NY1AZMJMD8LP67,HSBC CONTINENTAL EUROPE,FR
G8ZTNESVNKW4NN761W05,ABN AMRO Clearing Bank N.V.,NL
J48C8PCSJVUBR8KCW529,BANCA POPOLARE DI SONDRIO SOCIETA' PER AZIONI,IT
J4CP7MHCXR8DAQMKIL78,BANCA MONTE DEI PASCHI DI SIENA S.P.A.,IT
K8MS7FD7N5Z2WQ51AZ71,BANCO BILBAO VIZCAYA ARGENTARIA SOCIEDAD ANONIMA,ES
KFUXYFTU2LHQFQZDQG45,KERESKEDELMI ÉS HITELBANK ZÁRTKÖRŰEN MŰKÖDŐ RÉSZVÉNYTÁRSASÁG,HU
KR6LSKV3BTSJRD41IF75,"UniCredit Bank Czech Republic and Slovakia, a.s.",CZ
MAES062Z21O4RZ2U7M96,DANSKE BANK A/S,DK
N4JDFKKH2FTD8RKFXO39,CREDIT INDUSTRIEL ET COMMERCIAL,FR
N747OI7JINV7RUUH6190,BPER BANCA S.P.A.,IT
NMH2KF074RKAGTH4CM63,BNP PARIBAS BANK POLSKA SPÓŁKA AKCYJNA,PL
P4GTT6GF1W40CVIMFR43,POWSZECHNA KASA OSZCZĘDNOŚCI BANK POLSKI SPÓŁKA AKCYJNA,PL
PSNL19R2RXX5U3QWHI44,MEDIOBANCA - BANCA DI CREDITO FINANZIARIO S.P.A.,IT
R0MUWSFPU8MPRO8K5P83,BNP PARIBAS,FR
R7CQUF1DQM73HUTV1078,"Banque et Caisse d'Epargne de l'Etat, Luxembourg",LU
RG3IZJKPYQ4H6IQPIC08,Addiko Bank dioničko društvo,HR
SI5RG2M0WQQLZCXKRM20,BANCO DE SABADELL S.A.,ES
